,CCI,/cci_items/cci_item/definition,Note,Parameter,index
170,CCI-001431,The organization defines a frequency for monitoring for unauthorized remote connections to the information system.,,,AC-17 (5)
173,CCI-001432,The organization takes appropriate action if an unauthorized remote connection to the information system is discovered.,,,AC-17 (5)
176,CCI-001433,The organization defines a list of security functions and security-relevant information that for remote access sessions have organization-defined security measures employed and are audited.,,,AC-17 (7)
179,CCI-001434,The organization defines additional security measures to be employed when an organization-defined list of security functions and security-relevant information is accessed remotely.,,,AC-17 (7)
182,CCI-001435,The organization defines networking protocols within the information system deemed to be nonsecure.,,,AC-17 (8)
185,CCI-001436,The organization disables organization-defined networking protocols within the information system deemed to be nonsecure except for explicitly identified components in support of specific operational requirements.,,,AC-17 (8)
188,CCI-001437,The organization documents the rationale for the execution of privileged commands and access to security-relevant information in the security plan for the information system.,,,AC-17 (4)
191,CCI-001453,The information system implements cryptographic mechanisms to protect the integrity of remote access sessions.,,,AC-17 (2)
195,CCI-001454,The organization ensures that remote sessions for accessing an organization-defined list of security functions and security-relevant information are audited.,,,AC-17 (7)
198,CCI-001455,The organization explicitly identifies components needed in support of specific operational requirements.,,,AC-17 (8)
201,CCI-001402,The organization monitors for unauthorized remote access to the information system.,,,AC-17 
204,CCI-001563,The organization defines the appropriate action(s) to be taken if an unauthorized wireless connection is discovered.,,,AC-18 (2)
207,CCI-001438,The organization establishes usage restrictions for wireless access.,,,AC-18 
211,CCI-001439,The organization establishes implementation guidance for wireless access.,,,AC-18 
215,CCI-001440,The organization monitors for unauthorized wireless access to the information system.,,,AC-18 
218,CCI-001441,The organization authorizes wireless access to the information system prior to allowing such connections.,,,AC-18 
222,CCI-001442,The organization enforces requirements for wireless connections to the information system.,,,AC-18 
225,CCI-001443,The information system protects wireless access to the system using authentication of users and/or devices.,,,AC-18 (1)
229,CCI-001444,The information system protects wireless access to the system using encryption.,,,AC-18 (1)
233,CCI-001445,The organization monitors for unauthorized wireless connections to the information system on an organization-defined frequency.,,,AC-18 (2)
236,CCI-001446,The organization scans for unauthorized wireless access points on an organization-defined frequency.,,,AC-18 (2)
239,CCI-001447,"The organization defines a frequency of monitoring for unauthorized wireless connections to information system, including scans for unauthorized wireless access points.",,,AC-18 (2)
242,CCI-001448,The organization takes appropriate action if an unauthorized wireless connection is discovered.,,,AC-18 (2)
245,CCI-001449,"The organization disables, when not intended for use, wireless networking capabilities internally embedded within information system components prior to issuance and deployment.",,,AC-18 (3)
249,CCI-001450,The organization does not allow users to independently configure wireless networking capabilities.,,,AC-18 (4)
252,CCI-001451,The organization selects radio antennas and calibrates transmission power levels to reduce the probability that usable signals can be received outside of organization-controlled boundaries.,,,AC-18 (5)
256,CCI-000082,The organization establishes usage restrictions for organization-controlled mobile devices.,,,AC-19 
260,CCI-000083,The organization establishes implementation guidance for organization-controlled mobile devices.,,,AC-19 
264,CCI-000084,The organization authorizes connection of mobile devices to organizational information systems.,,,AC-19 
268,CCI-000085,The organization monitors for unauthorized connections of mobile devices to organizational information systems.,,,AC-19 
271,CCI-000086,The organization enforces requirements for the connection of mobile devices to organizational information systems.,,,AC-19 
274,CCI-000087,The organization disables information system functionality that provides the capability for automatic execution of code on mobile devices without user direction.,,,AC-19 
277,CCI-000088,The organization issues specially configured mobile devices to individuals traveling to locations that the organization deems to be of significant risk in accordance with organizational policies and procedures.,,,AC-19 
280,CCI-000089,The organization applies organization-defined inspection and preventative measures to mobile devices returning from locations that the organization deems to be of significant risk in accordance with organizational policies and procedures.,,,AC-19 
283,CCI-000090,"The organization restricts the use of writable, removable media in organizational information systems.",,,AC-19 (1)
286,CCI-000091,"The organization prohibits the use of personally-owned, removable media in organizational information systems.",,,AC-19 (2)
289,CCI-000092,The organization prohibits the use of removable media in organizational information systems when the media has no identifiable owner.,,,AC-19 (3)
292,CCI-001456,The organization defines locations that the organization deems to be of significant risk in accordance with organizational policies and procedures.,,,AC-19 
295,CCI-001457,The organization defines inspection and preventative measures to be applied on mobile devices returning from locations that the organization deems to be of significant risk in accordance with organizational policies and procedures.,,,AC-19 
298,CCI-001458,"The organization requires that if classified information is found on mobile devices, the incident handling policy be followed.",,,AC-19 (4) ()
302,CCI-001330,"The organization prohibits the use of unclassified mobile devices in facilities containing information systems processing, storing, or transmitting classified information unless specifically permitted by the authorizing official.",,,AC-19 (4) ()
306,CCI-001331,The organization prohibits connection of unclassified mobile devices to classified information systems.,,,AC-19 (4) ()
310,CCI-001332,The organization requires approval from the authorizing official for the connection of unclassified mobile devices to unclassified information systems.,,,AC-19 (4) ()
314,CCI-001333,"The organization prohibits use of internal or external modems or wireless interfaces within unclassified mobile devices in facilities containing information systems processing, storing, or transmitting classified information.",,,AC-19 (4) ()
318,CCI-001334,"The organization requires that unclassified mobile devices used in facilities containing information systems processing, storing, or transmitting classified information and the information stored on those devices be subject to random reviews and inspections by organization-defined security officials.",,,AC-19 (4) ()
322,CCI-001335,"The organization defines security officials to perform reviews and inspections of unclassified mobile devices in facilities containing information systems processing, storing, or transmitting classified information.",,,AC-19 (4) ()
326,CCI-001547,The organization defines the frequency on which it will review information system accounts for compliance with account management requirements.,,,AC-2 
330,CCI-000007,"The organization manages information system accounts by identifying account types (i.e., individual, group, system, application, guest/anonymous, and temporary).",,,AC-2 
333,CCI-000008,The organization establishes conditions for group membership.,,,AC-2 
337,CCI-000009,The organization manages information system accounts by identifying authorized users of the information system and specifying access privileges.,,,AC-2 
340,CCI-000010,The organization requires approvals by organization-defined personnel or roles for requests to create information system accounts.,,,AC-2 
344,CCI-000011,"The organization creates, enables, modifies, disables, and removes information system accounts in accordance with organization-defined procedures or conditions.",,,AC-2 
348,CCI-000012,The organization reviews information system accounts for compliance with account management requirements per organization-defined frequency.,Organization-defined frequency,,AC-2 
352,CCI-000013,"The organization manages information system accounts by notifying account managers when temporary accounts are no longer required and when information system users are terminated, transferred, or information system usage or need-to-know/need-to-share changes.",,,AC-2 
355,CCI-000014,The organization manages information system accounts by granting access to the system based on a valid access authorization; intended system usage; and other attributes as required by the organization or associated missions/business functions.,,Organizational Policy identifying the process for user accounts.,AC-2 
358,CCI-000015,The organization employs automated mechanisms to support the information system account management functions.,,,AC-2 (1)
362,CCI-000016,The information system automatically removes or disables temporary accounts after an organization-defined time period for each type of account.,,,AC-2 (2)
366,CCI-000017,The information system automatically disables inactive accounts after an organization-defined time period.,,,AC-2 (3)
370,CCI-000018,The information system automatically audits account creation actions.,,,AC-2 (4)
374,CCI-000019,The organization requires that users log out in accordance with the organization-defined time period of inactivity or description of when to log out.,Other defined situation could be policy that users must log out at the end of the day.,,AC-2 (5) ()
378,CCI-000020,The information system dynamically manages user privileges and associated access authorizations.,,TBD,AC-2 (6)
381,CCI-000237,The organization manages information system accounts by specifically authorizing and monitoring the use of guest/anonymous accounts and temporary accounts.,,Procedures for the monitoring of assigned guest/anonymous accounts.,AC-2 
384,CCI-000208,The organization determines normal time-of-day and duration usage for information system accounts.,,,AC-2 (5) ()
387,CCI-001361,The organization defines a time period after which temporary accounts are automatically terminated.,,,AC-2 (2)
391,CCI-001365,The organization defines a time period after which emergency accounts are automatically terminated.,,,AC-2 (2)
395,CCI-000217,The organization defines a time period after which inactive accounts are automatically disabled.,,,AC-2 (3)
399,CCI-001403,The information system automatically audits account modification actions.,,,AC-2 (4)
403,CCI-001404,The information system automatically audits account disabling actions.,,,AC-2 (4)
407,CCI-001405,The information system automatically audits account removal actions.,,,AC-2 (4)
411,CCI-001406,The organization defines a time period of expected inactivity when users are required to log out.,,,AC-2 (5) ()
415,CCI-001407,The organization administers privileged user accounts in accordance with a role-based access scheme that organizes allowed information system access and privileges into roles.,,,AC-2 (7) ()
419,CCI-001354,The organization manages information system accounts by deactivating temporary accounts that are no longer required.,,,AC-2 
422,CCI-001355,The organization manages information system accounts by deactivating accounts of terminated or transferred users.,,,AC-2 
425,CCI-001356,The organization monitors for atypical usage of information system accounts.,,,AC-2 (5) ()
428,CCI-001357,The organization reports atypical usage to designated organizational officials.,,,AC-2 (5) ()
431,CCI-001358,The organization establishes privileged user accounts in accordance with a role-based access scheme that organizes allowed information system access and privileges into roles.,,,AC-2 (7) ()
435,CCI-001359,The organization tracks privileged role assignments.,,,AC-2 (7) ()
438,CCI-001360,The organization monitors privileged role assignments.,,,AC-2 (7) ()
442,CCI-001682,The information system automatically removes or disables emergency accounts after an organization-defined time period for each type of account.,,,AC-2 (2)
446,CCI-001683,The information system notifies organization-defined personnel or roles for account creation actions.,,,AC-2 (4)
450,CCI-001684,The information system notifies organization-defined personnel or roles for account modification actions.,,,AC-2 (4)
454,CCI-001685,The information system notifies organization-defined personnel or roles for account disabling actions.,,,AC-2 (4)
458,CCI-001686,The information system notifies organization-defined personnel or roles for account removal actions.,,,AC-2 (4)
462,CCI-000093,"The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to access the information system from the external information systems.",,,AC-20 
466,CCI-000094,"The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to process organization-controlled information using the external information systems.",,,AC-20 
469,CCI-000095,The organization prohibits authorized individuals from using an external information system to access the information system except in situations where the organization can verify the implementation of required security controls on the external system as specified in the organization's information security policy and security plan.,,,AC-20 (1) ()
472,CCI-000096,"The organization prohibits authorized individuals from using an external information system to access the information system or to process, store, or transmit organization-controlled information except in situations where the organization has approved information system connection or processing agreements with the organizational entity hosting the external information system.",,,AC-20 (1) ()
475,CCI-000097,The organization restricts or prohibits the use of organization-controlled portable storage devices by authorized individuals on external information systems.,,,AC-20 (2)
479,CCI-001465,"The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to store organization-controlled information using the external information systems.",,,AC-20 
482,CCI-001466,"The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to transmit organization-controlled information using the external information systems.",,,AC-20 
485,CCI-001467,The organization prohibits authorized individuals from using an external information system to process organization-controlled information except in situations where the organization can verify the implementation of required security controls on the external system as specified in the organization's information security policy and security plan.,,,AC-20 (1) ()
488,CCI-001468,The organization prohibits authorized individuals from using an external information system to store organization-controlled information except in situations where the organization can verify the implementation of required security controls on the external system as specified in the organization's information security policy and security plan.,,,AC-20 (1) ()
491,CCI-001469,The organization prohibits authorized individuals from using an external information system to transmit organization-controlled information except in situations where the organization can verify the implementation of required security controls on the external system as specified in the organization's information security policy and security plan.,,,AC-20 (1) ()
494,CCI-000098,The organization facilitates information sharing by enabling authorized users to determine whether access authorizations assigned to the sharing partner match the access restrictions on the information for organization-defined information circumstances where user discretion is required.,,,AC-21 
498,CCI-000099,The information system enforces information-sharing decisions by authorized users based on access authorizations of sharing partners and access restrictions on information to be shared.,,,AC-21 (1)
503,CCI-001470,The organization defines information sharing circumstances where user discretion is required.,,,AC-21 
507,CCI-001471,The organization employs organization-defined automated mechanisms or manual processes required to assist users in making information sharing/collaboration decisions.,,,AC-21 
511,CCI-001472,The organization defines the automated mechanisms or manual processes required to assist users in making information sharing/collaboration decisions.,,,AC-21 
515,CCI-001473,The organization designates individuals authorized to post information onto a publicly accessible information system.,,,AC-22 
519,CCI-001474,The organization trains authorized individuals to ensure that publicly accessible information does not contain nonpublic information.,,,AC-22 
523,CCI-001475,The organization reviews the proposed content of information prior to posting onto the publicly accessible information system to ensure that nonpublic information is not included.,,,AC-22 
527,CCI-001476,The organization reviews the content on the publicly accessible information system for nonpublic information on an organization-defined frequency.,,,AC-22 
531,CCI-001477,The organization defines a frequency for reviewing the content on the publicly accessible information system for nonpublic information.,,,AC-22 
535,CCI-001478,"The organization removes nonpublic information from the publicly accessible information system, if discovered.",,,AC-22 
539,CCI-000021,The information system enforces dual authorization for organization-defined privileged commands and/or other organization-defined actions.,,,AC-3 (2)
543,CCI-000022,The information system enforces one or more organization-defined nondiscretionary access control policies over an organization-defined set of users and resources.,,,AC-3 (3) ()
546,CCI-000024,"The information system prevents access to organization-defined security-relevant information except during secure, non-operable system states.",,,AC-3 (5)
550,CCI-000213,The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,,,AC-3
554,CCI-000214,The organization establishes a Discretionary Access Control (DAC) policy that limits propagation of access rights.,,,AC-3 (4) ()
557,CCI-000215,The organization establishes a Discretionary Access Control (DAC) policy that includes or excludes access to the granularity of a single user.,,,AC-3 (4) ()
560,CCI-001408,The organization defines privileged commands for which dual authorization is to be enforced.,,,AC-3 (2)
564,CCI-001409,"The organization defines nondiscretionary access control policies to be enforced over the organization-defined set of users and resources, where the rule set for each policy specifies access control information employed by the policy rule set (e.g., position, nationality, age, project, time of day) and required relationships among the access control information to permit access.",,,AC-3 (3)
567,CCI-001410,The organization defines the set of users and resources over which the information system is to enforce nondiscretionary access control policies.,,,AC-3 (3)
570,CCI-001411,"The organization defines security-relevant information to which the information system prevents access except during secure, non-operable system states.",,,AC-3 (5)
574,CCI-001412,"The organization encrypts or stores off-line, in a secure location, organization-defined user information.",,,AC-3 (6)
577,CCI-001413,"The organization encrypts or stores off-line, in a secure location, organization-defined system information.",,,AC-3 (6)
580,CCI-001362,"The information system enforces a Discretionary Access Control (DAC) policy that allows users to specify and control sharing by named individuals or groups of individuals, or by both.",,,AC-3 (4)
583,CCI-001363,"The organization establishes a Discretionary Access Control (DAC) policy that allows users to specify and control sharing by named individuals or groups of individuals, or by both.",,,AC-3 (4) ()
586,CCI-001366,The organization defines user information to be encrypted or stored off-line in a secure location.,,,AC-3 (6)
589,CCI-001367,The organization defines system information to be encrypted or stored off-line in a secure location.,,,AC-3 (6)
592,CCI-001693,The information system enforces a Discretionary Access Control (DAC) policy that limits propagation of access rights.,,,AC-3 (4)
595,CCI-001694,The information system enforces a Discretionary Access Control (DAC) policy that includes or excludes access to the granularity of a single user.,,,AC-3 (4)
598,CCI-001548,The organization defines the information flow control policies for controlling the flow of information within the system.,,,AC-4
602,CCI-001549,The organization defines the information flow control policies for controlling the flow of information between interconnected systems.,,,AC-4
606,CCI-001550,The organization defines approved authorizations for controlling the flow of information within the system.,,,AC-4
610,CCI-001551,The organization defines approved authorizations for controlling the flow of information between interconnected systems.,,,AC-4
614,CCI-001552,The organization defines policy that allows or disallows information flows based on changing conditions or operational considerations.,,,AC-4 (3)
617,CCI-001553,The organization defines the security policy filters that privileged administrators have the capability to enable/disable.,,,AC-4 (10)
621,CCI-001554,The organization defines the security policy filters that privileged administrators have the capability to configure.,,,AC-4 (11)
625,CCI-001555,The information system uniquely identifies destination domains for information transfer.,,,AC-4 (17) ()
628,CCI-001556,The information system uniquely authenticates destination domains for information transfer.,,,AC-4 (17) ()
631,CCI-001557,The information system tracks problems associated with the information transfer.,,,AC-4 (17) 
634,CCI-000025,"The information system enforces information flow control using explicit security attributes on information, source, and destination objects as a basis for flow control decisions.",,,AC-4 (1)
637,CCI-000026,The information system uses protected processing domains to enforce organization-defined information flow control policies as a basis for flow control decisions.,,,AC-4 (2)
641,CCI-000027,The information system enforces dynamic information flow control based on organization-defined policies.,,,AC-4 (3)
645,CCI-000028,The information system prevents encrypted information from bypassing content-checking mechanisms by employing organization-defined procedures or methods.,,,AC-4 (4)
649,CCI-000029,The information system enforces organization-defined limitations on the embedding of data types within other data types.,,,AC-4 (5)
653,CCI-000030,The information system enforces information flow control based on organization-defined metadata.,,,AC-4 (6)
657,CCI-000031,The information system enforces organization-defined one-way flows using hardware mechanisms.,,,AC-4 (7)
661,CCI-000032,The information system enforces information flow control using organization-defined security policy filters as a basis for flow control decisions for organization-defined information flows.,,,AC-4 (8)
665,CCI-000033,The information system enforces the use of human review for organization-defined security policy filters when the system is not capable of making an information flow control decision.,,,AC-4 (9)
668,CCI-000034,The information system provides the capability for a privileged administrator to enable/disable organization-defined security policy filters under organization-defined conditions.,,,AC-4 (10)
672,CCI-000035,The information system provides the capability for privileged administrators to configure the organization-defined security policy filters to support different security policies.,,,AC-4 (11)
676,CCI-000218,"The information system, when transferring information between different security domains, identifies information flows by data type specification and usage.",,,AC-4 (12)
679,CCI-000219,"The information system, when transferring information between different security domains, decomposes information into organization-defined policy-relevant subcomponents for submission to policy enforcement mechanisms.",,,AC-4 (13)
683,CCI-000221,The information system enforces security policies regarding information on interconnected systems.,,,AC-4 (16)
686,CCI-000223,The information system binds security attributes to information to facilitate information flow policy enforcement.,,,AC-4 (17) ()
689,CCI-000224,The information system tracks problems associated with the security attribute binding.,,,AC-4 (17) ()
692,CCI-001414,The information system enforces approved authorizations for controlling the flow of information between interconnected systems based on organization-defined information flow control policies.,,,AC-4
696,CCI-001415,The organization defines limitations for the embedding of data types within other data types.,,,AC-4 (5)
700,CCI-001416,The organization defines one-way information flows to be enforced by the information system.,,,AC-4 (7)
704,CCI-001417,The organization defines security policy filters to be enforced by the information system and used as a basis for flow control decisions.,,,AC-4 (8)
708,CCI-001418,The organization defines security policy filters for which the information system enforces the use of human review.,,,AC-4 (9)
711,CCI-001368,The information system enforces approved authorizations for controlling the flow of information within the system based on organization-defined information flow control policies.,,,AC-4
715,CCI-001371,The organization defines information security policy filters requiring fully enumerated formats which are to be implemented when transferring information between different security domains.,,,AC-4 (14)
719,CCI-001372,"The information system, when transferring information between different security domains, implements organization-defined security policy filters requiring fully enumerated formats that restrict data structure and content.",,,AC-4 (14)
723,CCI-001373,"The information system, when transferring information between different security domains, examines the information for the presence of organization-defined unsanctioned information.",,,AC-4 (15)
727,CCI-001374,"The information system, when transferring information between different security domains, prohibits the transfer of organization-defined unsanctioned information in accordance with the organization-defined security policy.",,,AC-4 (15)
731,CCI-001376,The information system uniquely identifies source domains for information transfer.,,,AC-4 (17) ()
734,CCI-001377,The information system uniquely authenticates source domains for information transfer.,,,AC-4 (17) ()
737,CCI-000036,The organization separates organization-defined duties of individuals.,,,AC-5 
741,CCI-000037,The organization implements separation of duties through assigned information system access authorizations.,,,AC-5 
744,CCI-001380,The organization documents separation of duties of individuals.,,,AC-5 
748,CCI-001558,"The organization defines the security functions (deployed in hardware, software, and firmware) for which access must be explicitly authorized.",,,AC-6 (1)
752,CCI-000038,The organization explicitly authorizes access to organization-defined security functions and security-relevant information.,,,AC-6 (1)
755,CCI-000039,"The organization requires that users of information system accounts or roles, with access to organization-defined security functions or security-relevant information, use non-privileged accounts, or roles, when accessing nonsecurity functions.",,,AC-6 (2)
759,CCI-000040,"The organization audits any use of privileged accounts, or roles, with access to organization-defined security functions or security-relevant information, when accessing other system functions.",,,AC-6 (2)
762,CCI-000041,The organization authorizes network access to organization-defined privileged commands only for organization-defined compelling operational needs.,"The organization employs the concept of least privilege, limiting authorized access for users (and processes acting on behalf of users) as necessary, to accomplish assigned tasks.",,AC-6 (3)
766,CCI-000042,The organization documents the rationale for authorized network access to organization-defined privileged commands in the security plan for the information system.,"The organization employs the concept of least privilege, limiting authorized access for users (and processes acting on behalf of users) as necessary, to accomplish assigned tasks.",,AC-6 (3)
770,CCI-000225,"The organization employs the concept of least privilege, allowing only authorized accesses for users (and processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions.",,,AC-6
774,CCI-000226,The information system provides the capability for a privileged administrator to configure organization-defined security policy filters to support different security policies.,,,AC-6 (4)
777,CCI-001419,"The organization defines the security functions or security-relevant information to which users of information system accounts, or roles, have access.",,,AC-6 (2)
781,CCI-001420,The organization defines the privileged commands to which network access is to be authorized only for organization-defined compelling operational needs.,,,AC-6 (3)
785,CCI-001421,The organization limits authorization to super user accounts on the information system to designated system administration personnel.,,,AC-6 (5)
788,CCI-001422,The organization prohibits privileged access to the information system by non-organizational users.,,,AC-6 (6)
792,CCI-000043,The organization defines the maximum number of consecutive invalid logon attempts to the information system by a user during an organization-defined time period.,,,AC-7
796,CCI-000044,The information system enforces the organization-defined limit of consecutive invalid logon attempts by a user during the organization-defined time period.,,,AC-7 
800,CCI-000045,"The organization defines in the security plan, explicitly or by reference, the time period for lock out mode or delay period.",,,AC-7 
803,CCI-000046,The organization selects either a lock out mode for the organization-defined time period or delays the next login prompt for the organization-defined delay period for information system responses to consecutive invalid access attempts.,,,AC-7 
806,CCI-000047,"The information system delays next login prompt according to the organization-defined delay algorithm, when the maximum number of unsuccessful attempts is exceeded, automatically locks the account/node for an organization-defined time period or locks the account/node until released by an Administrator IAW organizational policy.",,,AC-7 
809,CCI-001423,The organization defines the time period in which the organization-defined maximum number of consecutive invalid logon attempts occur.,,,AC-7
813,CCI-001452,The information system enforces the organization-defined time period during which the limit of consecutive invalid access attempts by a user is counted.,,,AC-7 
816,CCI-001382,"The organization defines the number of consecutive, unsuccessful login attempts to the mobile device.",,,AC-7 (2)
819,CCI-001383,"The information system provides additional protection for mobile devices accessed via login by purging information from the device after an organization-defined number of consecutive, unsuccessful login attempts to the mobile device.",,,AC-7 (2)
822,CCI-000048,"The information system displays an organization-defined system use notification message or banner before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",,,AC-8 
826,CCI-000049,"The organization defines a system use notification message or banner displayed before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that: (i) users are accessing a U.S. Government information system; (ii) system usage may be monitored, recorded, and subject to audit; (iii) unauthorized use of the system is prohibited and subject to criminal and civil penalties; and (iv) use of the system indicates consent to monitoring and recording.",,,AC-8 
829,CCI-000050,The information system retains the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the information system.,,,AC-8 
833,CCI-000051,The organization approves the information system use notification message before its use.,,,AC-8 
836,CCI-001384,"The information system, for publicly accessible systems, displays system use information organization-defined conditions before granting further access.",,,AC-8 
840,CCI-001385,"The information system, for publicly accessible systems, displays references, if any, to monitoring that are consistent with privacy accommodations for such systems that generally prohibit those activities.",,,AC-8 
844,CCI-001386,"The information system, for publicly accessible systems, displays references, if any, to recording that are consistent with privacy accommodations for such systems that generally prohibit those activities.",,,AC-8 
848,CCI-001387,"The information system, for publicly accessible systems, displays references, if any, to auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities.",,,AC-8 
852,CCI-001388,"The information system, for publicly accessible systems, includes a description of the authorized uses of the system.",,,AC-8 
856,CCI-000052,"The information system notifies the user, upon successful logon (access) to the system, of the date and time of the last logon (access).",,,AC-9
860,CCI-000053,"The information system notifies the user, upon successful logon/access, of the number of unsuccessful logon/access attempts since the last successful logon/access.",,,AC-9 (1)
