,FAMILY,NAME,TITLE,PRIORITY,BASELINE-IMPACT,DESCRIPTION,SUPPLEMENTAL GUIDANCE,RELATED,ccis
36,ACCESS CONTROL,AC-2 (9),RESTRICTIONS ON USE OF SHARED / GROUP ACCOUNTS,,,The organization only permits the use of shared/group accounts that meet [Assignment: organization-defined conditions for establishing shared/group accounts].,,,CCI-002140 The organization defines the conditions for establishing shared/group accounts. CCI-002141 The organization only permits the use of shared/group accounts that meet organization-defined conditions for establishing shared/group accounts.
37,ACCESS CONTROL,AC-2 (10),SHARED / GROUP ACCOUNT CREDENTIAL TERMINATION,,,The information system terminates shared/group account credentials when members leave the group.,,,CCI-002142 The information system terminates shared/group account credentials when members leave the group.
38,ACCESS CONTROL,AC-2 (11),USAGE CONDITIONS,,HIGH,The information system enforces [Assignment: organization-defined circumstances and/or usage conditions] for [Assignment: organization-defined information system accounts].,"Organizations can describe the specific conditions or circumstances under which information system accounts can be used, for example, by restricting usage to certain days of the week, time of day, or specific durations of time.",,CCI-002143 The organization defines the circumstances and/or usage conditions that are to be enforced for organization-defined information system accounts. CCI-002144 The organization defines the information system accounts that are to be subject to the enforcement of organization-defined circumstances and/or usage conditions. CCI-002145 The information system enforces organization-defined circumstances and/or usage conditions for organization-defined information system accounts.
39,ACCESS CONTROL,AC-2 (12),ACCOUNT MONITORING / ATYPICAL USAGE,,HIGH,The organization:,"Atypical usage includes, for example, accessing information systems at certain times of the day and from locations that are not consistent with the normal usage patterns of individuals working in organizations.",CA-7,
42,ACCESS CONTROL,AC-2 (13),DISABLE ACCOUNTS FOR HIGH-RISK INDIVIDUALS,,HIGH,The organization disables accounts of users posing a significant risk within [Assignment: organization-defined time period] of discovery of the risk.,"Users posing a significant risk to organizations include individuals for whom reliable evidence or intelligence indicates either the intention to use authorized access to information systems to cause harm or through whom adversaries will cause harm. Harm includes potential adverse impacts to organizational operations and assets, individuals, other organizations, or the Nation. Close coordination between authorizing officials, information system administrators, and human resource managers is essential in order for timely execution of this control enhancement.",PS-4,CCI-002150 The organization defines the time period within which the accounts of users posing a significant risk are to be disabled after discovery of the risk. CCI-002151 The organization disables accounts of users posing a significant risk within an organization-defined time period of discovery of the risk.
43,ACCESS CONTROL,AC-3,ACCESS ENFORCEMENT,P1,"LOW,MODERATE,HIGH",The information system enforces approved authorizations for logical access to information           and system resources in accordance with applicable access control policies.,"Access control policies (e.g., identity-based policies, role-based policies, control matrices, cryptography) control access between active entities or subjects (i.e., users or processes acting on behalf of users) and passive entities or objects (e.g., devices, files, records, domains) in information systems. In addition to enforcing authorized access at the information system level and recognizing that information systems can host many applications and services in support of organizational missions and business operations, access enforcement mechanisms can also be employed at the application and service level to provide increased information security.","AC-2,AC-4,AC-5,AC-6,AC-16,AC-17,AC-18,AC-19,AC-20,AC-21,AC-22,AU-9,CM-5,CM-6,CM-11,MA-3,MA-4,MA-5,PE-3",CCI-000213 The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.
44,ACCESS CONTROL,AC-3 (1),RESTRICTED ACCESS TO PRIVILEGED FUNCTIONS,,,[Withdrawn: Incorporated into AC-6].,,,
45,ACCESS CONTROL,AC-3 (2),DUAL AUTHORIZATION,,,The information system enforces dual authorization for [Assignment: organization-defined privileged commands and/or other organization-defined actions].,Dual authorization mechanisms require the approval of two authorized individuals in order to execute. Organizations do not require dual authorization mechanisms when immediate responses are necessary to ensure public and environmental safety. Dual authorization may also be known as two-person control.,"CP-9,MP-6",CCI-000021 The information system enforces dual authorization for organization-defined privileged commands and/or other organization-defined actions. CCI-001408 The organization defines privileged commands for which dual authorization is to be enforced. CCI-002152 The organization defines other actions necessary for which dual authorization is to be enforced.
46,ACCESS CONTROL,AC-3 (3),MANDATORY ACCESS CONTROL,,,The information system enforces [Assignment: organization-defined mandatory access control policy] over all subjects and objects where the policy:,"Mandatory access control as defined in this control enhancement is synonymous with nondiscretionary access control, and is not constrained only to certain historical uses (e.g., implementations using the Bell-LaPadula Model). The above class of mandatory access control policies constrains what actions subjects can take with information obtained from data objects for which they have already been granted access, thus preventing the subjects from passing the information to unauthorized subjects and objects. This class of mandatory access control policies also constrains what actions subjects can take with respect to the propagation of access control privileges; that is, a subject with a privilege cannot pass that privilege to other subjects. The policy is uniformly enforced over all subjects and objects to which the information system has control. Otherwise, the access control policy can be circumvented. This enforcement typically is provided via an implementation that meets the reference monitor concept (see AC-25). The policy is bounded by the information system boundary (i.e., once the information is passed outside of the control of the system, additional means may be required to ensure that the constraints on the information remain in effect). The trusted subjects described above are granted privileges consistent with the concept of least privilege (see AC-6). Trusted subjects are only given the minimum privileges relative to the above policy necessary for satisfying organizational mission/business needs. The control is most applicable when there is some policy mandate (e.g., law, Executive Order, directive, or regulation) that establishes a policy regarding access to sensitive/classified information and some users of the information system are not authorized access to all sensitive/classified information resident in the information system. This control can operate in conjunction with AC-3 (4). A subject that is constrained in its operation by policies governed by this control is still able to operate under the less rigorous constraints of AC-3 (4), but policies governed by this control take precedence over the less rigorous constraints of AC-3 (4). For example, while a mandatory access control policy imposes a constraint preventing a subject from passing information to another subject operating at a different sensitivity label, AC-3 (4) permits the subject to pass the information to any subject with the same sensitivity label as the subject.","AC-25,SC-11","CCI-001409 The organization defines nondiscretionary access control policies to be enforced over the organization-defined set of users and resources, where the rule set for each policy specifies access control information employed by the policy rule set (e.g., position, nationality, age, project, time of day) and required relationships among the access control information to permit access. CCI-001410 The organization defines the set of users and resources over which the information system is to enforce nondiscretionary access control policies. CCI-002153 The organization defines the mandatory access control policies that are to be enforced over all subjects and objects. CCI-003014 The information system enforces organization-defined mandatory access control policies over all subjects and objects."
55,ACCESS CONTROL,AC-3 (4),DISCRETIONARY ACCESS CONTROL,,,The information system enforces [Assignment: organization-defined discretionary access control policy] over defined subjects and objects where the policy specifies that a subject that has been granted access to information can do one or more of the following:,"When discretionary access control policies are implemented, subjects are not constrained with regard to what actions they can take with information for which they have already been granted access. Thus, subjects that have been granted access to information are not prevented from passing (i.e., the subjects have the discretion to pass) the information to other subjects or objects. This control enhancement can operate in conjunction with AC-3 (3). A subject that is constrained in its operation by policies governed by AC-3 (3) is still able to operate under the less rigorous constraints of this control enhancement. Thus, while AC-3 (3) imposes constraints preventing a subject from passing information to another subject operating at a different sensitivity level, AC-3 (4) permits the subject to pass the information to any subject at the same sensitivity level. The policy is bounded by the information system boundary. Once the information is passed outside of the control of the information system, additional means may be required to ensure that the constraints remain in effect. While the older, more traditional definitions of discretionary access control require identity-based access control, that limitation is not required for this use of discretionary access control.",,"CCI-001362 The information system enforces a Discretionary Access Control (DAC) policy that allows users to specify and control sharing by named individuals or groups of individuals, or by both. CCI-001693 The information system enforces a Discretionary Access Control (DAC) policy that limits propagation of access rights. CCI-001694 The information system enforces a Discretionary Access Control (DAC) policy that includes or excludes access to the granularity of a single user. CCI-002163 The organization defines the discretionary access control policies the information system is to enforce over subjects and objects. CCI-002164 The organization specifies in the discretionary access control policies that a subject that has been granted access to information can do one or more of the following: pass the information to any other subjects or objects; grant its privileges to other subjects; change security attributes on subjects, objects, the information system, or the information system's components; choose the security attributes to be associated with newly created or revised objects; and/or change the rules governing access control. CCI-002165 The information system enforces organization-defined discretionary access control policies over defined subjects and objects."
61,ACCESS CONTROL,AC-3 (5),SECURITY-RELEVANT INFORMATION,,,"The information system prevents access to [Assignment: organization-defined security-relevant information] except during secure, non-operable system states.","Security-relevant information is any information within information systems that can potentially impact the operation of security functions or the provision of security services in a manner that could result in failure to enforce system security policies or maintain the isolation of code and data. Security-relevant information includes, for example, filtering rules for routers/firewalls, cryptographic key management information, configuration parameters for security services, and access control lists. Secure, non-operable system states include the times in which information systems are not performing mission/business-related processing (e.g., the system is off-line for maintenance, troubleshooting, boot-up, shut down).",CM-3,"CCI-000024 The information system prevents access to organization-defined security-relevant information except during secure, non-operable system states. CCI-001411 The organization defines security-relevant information to which the information system prevents access except during secure, non-operable system states."
62,ACCESS CONTROL,AC-3 (6),PROTECTION OF USER AND SYSTEM INFORMATION,,,[Withdrawn: Incorporated into MP-4 and SC-28].,,,"CCI-001412 The organization encrypts or stores off-line, in a secure location, organization-defined user information. CCI-001413 The organization encrypts or stores off-line, in a secure location, organization-defined system information. CCI-001366 The organization defines user information to be encrypted or stored off-line in a secure location. CCI-001367 The organization defines system information to be encrypted or stored off-line in a secure location."
63,ACCESS CONTROL,AC-3 (7),ROLE-BASED ACCESS CONTROL,,,The information system enforces a role-based access control policy over defined subjects and objects and controls access based upon [Assignment: organization-defined roles and users authorized to assume such roles].,"Role-based access control (RBAC) is an access control policy that restricts information system access to authorized users. Organizations can create specific roles based on job functions and the authorizations (i.e., privileges) to perform needed operations on organizational information systems associated with the organization-defined roles. When users are assigned to the organizational roles, they inherit the authorizations or privileges defined for those roles. RBAC simplifies privilege administration for organizations because privileges are not assigned directly to every user (which can be a significant number of individuals for mid- to large-size organizations) but are instead acquired through role assignments. RBAC can be implemented either as a mandatory or discretionary form of access control. For organizations implementing RBAC with mandatory access controls, the requirements in AC-3 (3) define the scope of the subjects and objects covered by the policy.",,"CCI-002166 The organization defines the role-based access control policies the information system is to enforce over all subjects and objects. CCI-002167 The organization defines the subjects over which the information system will enforce a role-based access control policy. CCI-002168 The organization defines the objects over which the information system will enforce a role-based access control policy. CCI-002169 The information system enforces a role-based access control policy over defined subjects and objects. CCI-002170 The information system controls access based upon organization-defined roles and users authorized to assume such roles. CCI-002171 The information system enforces a role-based access control policy over organization-defined subjects. CCI-002172 The information system enforces a role-based access control policy over organization-defined objects. CCI-002173 The organization defines the roles for which the information system will control access based upon the organization-defined role-based access control policy. CCI-002174 The organization defines the users for which the information system will control access based upon the organization-defined role-based access control policy. CCI-002175 The information system controls access based upon organization-defined roles authorized to assume such roles, employing the organization-defined role-based access control policy. CCI-002176 The information system controls access based upon organization-defined users authorized to assume such roles, employing the organization-defined role-based access control policy."
64,ACCESS CONTROL,AC-3 (8),REVOCATION OF ACCESS AUTHORIZATIONS,,,The information system enforces the revocation of access authorizations resulting from changes to the security attributes of subjects and objects based on [Assignment: organization-defined rules governing the timing of revocations of access authorizations].,"Revocation of access rules may differ based on the types of access revoked. For example, if a subject (i.e., user or process) is removed from a group, access may not be revoked until the next time the object (e.g., file) is opened or until the next time the subject attempts a new access to the object. Revocation based on changes to security labels may take effect immediately. Organizations can provide alternative approaches on how to make revocations immediate if information systems cannot provide such capability and immediate revocation is necessary.",,CCI-002177 The organization defines the rules which will govern the timing of revocation of access authorizations. CCI-002178 The information system enforces the revocation of access authorizations resulting from changes to the security attributes of subjects based on organization-defined rules governing the timing of revocations of access authorizations. CCI-002179 The information system enforces the revocation of access authorizations resulting from changes to the security attributes of objects based on organization-defined rules governing the timing of revocations of access authorizations.
65,ACCESS CONTROL,AC-3 (9),CONTROLLED RELEASE,,,The information system does not release information outside of the established system boundary unless:,"Information systems can only protect organizational information within the confines of established system boundaries. Additional security safeguards may be needed to ensure that such information is adequately protected once it is passed beyond the established information system boundaries. Examples of information leaving the system boundary include transmitting information to an external information system or printing the information on one of its printers. In cases where the information system is unable to make a determination of the adequacy of the protections provided by entities outside its boundary, as a mitigating control, organizations determine procedurally whether the external information systems are providing adequate security. The means used to determine the adequacy of the security provided by external information systems include, for example, conducting inspections or periodic testing, establishing agreements between the organization and its counterpart organizations, or some other process. The means used by external entities to protect the information received need not be the same as those used by the organization, but the means employed are sufficient to provide consistent adjudication of the security policy to protect the information. This control enhancement requires information systems to employ technical or procedural means to validate the information prior to releasing it to external systems. For example, if the information system passes information to another system controlled by another organization, technical means are employed to validate that the security attributes associated with the exported information are appropriate for the receiving system. Alternatively, if the information system passes information to a printer in organization-controlled space, procedural means can be employed to ensure that only appropriately authorized individuals gain access to the printer. This control enhancement is most applicable when there is some policy mandate (e.g., law, Executive Order, directive, or regulation) that establishes policy regarding access to the information, and that policy applies beyond the realm of a particular information system or organization.",,
68,ACCESS CONTROL,AC-3 (10),AUDITED OVERRIDE OF ACCESS CONTROL MECHANISMS,,,The organization employs an audited override of automated access control mechanisms under [Assignment: organization-defined conditions].,,"AU-2,AU-6",CCI-002185 The organization defines the conditions on which it will employ an audited override of automated access control mechanisms. CCI-002186 The organization employs an audited override of automated access control mechanisms under organization-defined conditions.
69,ACCESS CONTROL,AC-4,INFORMATION FLOW ENFORCEMENT,P1,"MODERATE,HIGH",The information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems based on [Assignment: organization-defined information flow control policies].,"Information flow control regulates where information is allowed to travel within an information system and between information systems (as opposed to who is allowed to access the information) and without explicit regard to subsequent accesses to that information. Flow control restrictions include, for example, keeping export-controlled information from being transmitted in the clear to the Internet, blocking outside traffic that claims to be from within the organization, restricting web requests to the Internet that are not from the internal web proxy server, and limiting information transfers between organizations based on data structures and content. Transferring information between information systems representing different security domains with different security policies introduces risk that such transfers violate one or more domain security policies. In such situations, information owners/stewards provide guidance at designated policy enforcement points between interconnected systems. Organizations consider mandating specific architectural solutions when required to enforce specific security policies. Enforcement includes, for example: (i) prohibiting information transfers between interconnected systems (i.e., allowing access only); (ii) employing hardware mechanisms to enforce one-way information flows; and (iii) implementing trustworthy regrading mechanisms to reassign security attributes and security labels. Organizations commonly employ information flow control policies and enforcement mechanisms to control the flow of information between designated sources and destinations (e.g., networks, individuals, and devices) within information systems and between interconnected systems. Flow control is based on the characteristics of the information and/or the information path. Enforcement occurs, for example, in boundary protection devices (e.g., gateways, routers, guards, encrypted tunnels, firewalls) that employ rule sets or establish configuration settings that restrict information system services, provide a packet-filtering capability based on header information, or message-filtering capability based on message content (e.g., implementing key word searches or using document characteristics). Organizations also consider the trustworthiness of filtering/inspection mechanisms (i.e., hardware, firmware, and software components) that are critical to information flow enforcement. Control enhancements 3 through 22 primarily address cross-domain solution needs which focus on more advanced filtering techniques, in-depth analysis, and stronger flow enforcement mechanisms implemented in cross-domain products, for example, high-assurance guards. Such capabilities are generally not available in commercial off-the-shelf information technology products.","AC-3,AC-17,AC-19,AC-21,CM-6,CM-7,SA-8,SC-2,SC-5,SC-7,SC-18",CCI-001548 The organization defines the information flow control policies for controlling the flow of information within the system. CCI-001549 The organization defines the information flow control policies for controlling the flow of information between interconnected systems. CCI-001550 The organization defines approved authorizations for controlling the flow of information within the system. CCI-001551 The organization defines approved authorizations for controlling the flow of information between interconnected systems. CCI-001414 The information system enforces approved authorizations for controlling the flow of information between interconnected systems based on organization-defined information flow control policies. CCI-001368 The information system enforces approved authorizations for controlling the flow of information within the system based on organization-defined information flow control policies.
70,ACCESS CONTROL,AC-4 (1),OBJECT SECURITY ATTRIBUTES,,,"The information system uses [Assignment: organization-defined security attributes] associated with [Assignment: organization-defined information, source, and destination objects] to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions.","Information flow enforcement mechanisms compare security attributes associated with information (data content and data structure) and source/destination objects, and respond appropriately (e.g., block, quarantine, alert administrator) when the mechanisms encounter information flows not explicitly allowed by information flow policies. For example, an information object labeled Secret would be allowed to flow to a destination object labeled Secret, but an information object labeled Top Secret would not be allowed to flow to a destination object labeled Secret. Security attributes can also include, for example, source and destination addresses employed in traffic filter firewalls. Flow enforcement using explicit security attributes can be used, for example, to control the release of certain types of information.",AC-16,"CCI-000025 The information system enforces information flow control using explicit security attributes on information, source, and destination objects as a basis for flow control decisions. CCI-002187 The organization defines the security attributes to be used to enforce organization-defined information flow control policies. CCI-002188 The organization defines the information, source, and destination objects with which the organization-defined security attributes are to be associated. CCI-002189 The organization defines the information flow control policies to be enforced for flow control decisions. CCI-002190 The information system uses organization-defined security attributes associated with organization-defined information, source, and destination objects to enforce organization-defined information flow control policies as a basis for flow control decisions."
71,ACCESS CONTROL,AC-4 (2),PROCESSING DOMAINS,,,The information system uses protected processing domains to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions.,"Within information systems, protected processing domains are processing spaces that have controlled interactions with other processing spaces, thus enabling control of information flows between these spaces and to/from data/information objects. A protected processing domain can be provided, for example, by implementing domain and type enforcement. In domain and type enforcement, information system processes are assigned to domains; information is identified by types; and information flows are controlled based on allowed information accesses (determined by domain and type), allowed signaling among domains, and allowed process transitions to other domains.",,CCI-000026 The information system uses protected processing domains to enforce organization-defined information flow control policies as a basis for flow control decisions. CCI-002191 The organization defines the information flow control policies to be enforced by the information system using protected processing domains.
72,ACCESS CONTROL,AC-4 (3),DYNAMIC INFORMATION FLOW CONTROL,,,The information system enforces dynamic information flow control based on [Assignment: organization-defined policies].,"Organizational policies regarding dynamic information flow control include, for example, allowing or disallowing information flows based on changing conditions or mission/operational considerations. Changing conditions include, for example, changes in organizational risk tolerance due to changes in the immediacy of mission/business needs, changes in the threat environment, and detection of potentially harmful or adverse events.",SI-4,CCI-001552 The organization defines policy that allows or disallows information flows based on changing conditions or operational considerations. CCI-000027 The information system enforces dynamic information flow control based on organization-defined policies. CCI-002192 The organization defines the policies the information system is to enforce to achieve dynamic information flow control.
73,ACCESS CONTROL,AC-4 (4),CONTENT CHECK ENCRYPTED INFORMATION,,,The information system prevents encrypted information from bypassing content-checking mechanisms by [Selection (one or more): decrypting the information; blocking the flow of the encrypted information; terminating communications sessions attempting to pass encrypted information; [Assignment: organization-defined procedure or method]].,,SI-4,"CCI-000028 The information system prevents encrypted information from bypassing content-checking mechanisms by employing organization-defined procedures or methods. CCI-002193 The organization defines procedures or methods to be employed by the information system to prevent encrypted information from bypassing content-checking mechanisms, such as decrypting the information, blocking the flow of the encrypted information, and/or terminating communications sessions attempting to pass encrypted information."
